date;body temperature;cycle phase;Sleep Score;Total Sleep Score;REM Sleep Score;Deep Sleep Score;Sleep Efficiency Score;Restfulness Score;Sleep Latency Score;Sleep Timin Score;Total Sleep Duration;Total Bedtime ;Awake Time;REM Sleep Duration;Light Sleep Duration;Deep Sleep Duration;Restless Sleep;Sleep Efficiency;Sleep Latency;Sleep Timing;Bedtime Start;Bedtime End;Average Resting Heart Rate;Lowest Resting Heart Rate;Average HRV;Temperature Deviation (°C);Temperature Trend Deviation;Respiratory Rate;Activity Score;Stay Active Score;Move Every Hour Score;Meet Daily Targets Score;Training Frequency Score;Training Volume Score;Activity Burn;Total Burn;Steps;Equivalent Walking Distance;Inactive Time;Rest Time;Low Activity Time;Medium Activity Time;High Activity Time;Non-wear Time;Average MET;Long Periods of Inactivity;Readiness Score;Previous Night Score;Sleep Balance Score;Previous Day Activity Score;Activity Balance Score;Temperature Score;Resting Heart Rate Score;HRV Balance Score;Recovery Index Score
24/12/2022;;O;76;91;100;62;76;63;89;24;30030;36720;6690;9390;16950;3690;33;82;1110;18780;24/12/2022 00:18;24/12/2022 10:30;663;60;23;4;3;1575;74;76;100;25;100;97;267;1813;7743;6392;32880;36420;14580;2520;0;0;140625;0;86;75;98;94;94;100;73;78;91
25/12/2022;;LP;81;91;98;83;74;62;91;50;30090;37260;7170;8070;17130;4890;34;81;720;18600;24/12/2022 23:29;25/12/2022 09:50;6784;60;24;11;15;15875;77;72;100;25;100;97;242;1765;7444;5783;23100;22080;8280;3000;60;29880;1375;0;83;88;100;92;92;95;73;76;36
27/12/2022;36,35;LP;63;62;90;35;74;66;67;52;22650;27840;5190;6600;13890;2160;26;81;210;14490;27/12/2022 00:33;27/12/2022 08:17;6868;61;22;-6;13;1625;75;63;100;25;100;96;295;1830;8337;7505;39060;31500;11460;3720;0;660;140625;0;70;43;90;;99;100;64;70;42
28/12/2022;36,34;LP;71;67;60;90;69;67;64;90;23790;29940;6150;4410;14040;5340;28;79;150;13530;27/12/2022 23:32;28/12/2022 07:51;6488;60;24;-14;4;15625;67;64;78;1;100;96;247;1763;6733;6095;37320;32040;10020;3180;60;3780;1375;2;80;63;84;81;96;100;74;70;100
30/12/2022;36,34;LP;76;76;97;45;83;71;86;74;26220;30900;4680;7590;15960;2670;28;85;1200;15990;29/12/2022 23:24;30/12/2022 07:59;6837;62;19;36;17;155;77;76;100;25;100;96;397;1955;12142;9654;32460;29280;14160;5160;0;5340;153125;0;69;75;81;;96;74;56;60;74
31/12/2022;36,14;LP;75;76;78;93;74;66;70;74;26280;32460;6180;5670;15090;5520;31;81;240;14880;30/12/2022 23:42;31/12/2022 08:43;6814;61;20;8;24;15375;81;75;100;43;100;96;301;1844;8388;7475;33660;32280;13620;3600;120;3120;14375;0;77;73;81;82;95;98;66;55;100
01/01/2023;;LP;73;76;96;54;86;70;70;52;26280;30720;4440;7440;15630;3210;27;86;240;15660;01/01/2023 00:14;01/01/2023 08:46;7111;63;21;3;31;16125;85;75;95;60;100;97;371;1916;11153;9175;33120;32700;11040;4800;60;4680;146875;1;66;68;81;86;92;79;50;54;25
02/01/2023;36,78;LP;83;87;100;95;93;69;72;62;29100;32880;3780;9000;14310;5790;28;89;330;16620;01/01/2023 23:38;02/01/2023 08:46;683;64;21;35;37;16;87;73;100;78;100;98;316;1865;6809;7644;33480;33960;14880;3780;0;300;14375;0;77;93;87;83;87;75;42;53;100
03/01/2023;36,32;LP;82;81;96;79;83;71;78;89;27570;32580;5010;7200;15690;4680;28;85;420;15300;02/01/2023 23:05;03/01/2023 08:08;6491;58;27;29;42;16;87;68;95;95;100;99;499;2066;15682;12798;35760;28680;13980;6960;0;1020;159375;1;87;90;89;88;84;80;96;62;100
05/01/2023;36,41;LP;75;76;83;74;81;68;72;75;26070;30900;4830;6030;15630;4410;36;84;330;15210;04/01/2023 23:35;05/01/2023 08:10;6529;60;22;17;37;15375;75;87;100;95;100;99;286;1802;7746;6988;27720;30960;9900;3840;60;13920;140625;0;82;72;88;94;87;90;79;62;100
